"Наименование органа 
исполнительной власти 
субъекта РФ","план за 2018 г, га","факт за 2018 год, га","план за 2018 год, м. куб","факт за 2018 год, м.куб"
"Всего по Рослесхозу",323622.503,260242.2408,24675074.66053,25903795.34
"Центральный Федеральный округ",50087.42,52473.671,3985756.31,4756105.3
"Белгородская область",1877.38,1877.38,42867.41,49928.51
"Брянская область",5422.9,5451.5,305643,323304.41
"Владимирская область",5058.8,3498.77,216933,154591
"Воронежская область",3000,2984.54,120580,130820
"Ивановская область",2529,554.8200000000001,138000,28933
"Калужская область",2855,1450.7,210815.6,120785.2
"Костромская область",221.9,348.7,21599.4,26611.32
"Курская область",529.7,547.4,24085,22644
"Липецкая область",2201.74,2201.74,179809,179809
"Московская область",6500.2,8535.34,870733.8,1256883.7
"Орловская область",79.59999999999999,127.7,2664.1,3299
"Рязанская область",3614,3732.4,136643,146759
"Смоленская область",1623.5,636.87,240283,84333
"Тамбовская область",5945.8,5904.8,285760,284322
"Тверская область",7000,13546.111,1050000,1891887.06
"Тульская область",1005.4,599.2,63400,37412
"Ярославская область",622.5,475.7,75940,13783.1
"Северо-Западный Федеральный округ",13851.71,10506.13,1662516.2,1552540.4
"Республика Карелия",804.6799999999999,728.24,105902.4,123753.3
"Республика Коми",287.7,545,48136,110818.1
"Архангельская область",1533.63,274.5,178460.4,25019.2
"Вологодская область",3304,3304,507672.1,506318.2
"Калининградская область",3192.1,1094,242500,68700
"Ленинградская область",3474,3493.8,524442,642849
"Мурманская область",71,21.19,2628,506
"Новгородская область",867.6,735.5599999999999,,50656.6
"Псковская область",317,309.84,52775.3,23920
"Южный Федеральный округ",13742.773,7589.583,276694.9,186744.59
"Республика Адыгея",3072.6,2252.3,118420,68844
"Республика Калмыкия",225,225,4601,3102
"Республика Крым",2408.6,1942.5,33166.4,29417.7
"Краснодарский край",3369,523.3099999999999,,5032
"Астраханская область",604.603,536.253,17896,14954
"Ростовская область",1142.97,898.6,39151.5,33888.89
"Волгоградская область",2920,1211.62,63460,31506
"Северо-Кавказский Федеральный округ",8413,8972.1,85214.92999999999,124753.6
"Республика Дагестан",3739.3,3739.3,30732,30641
"Республика Ингушетия",312,312,2735,2736
"Кабардино-Балкарская Республика",650.4,650.4,10970.53,10970.5
"Карачаево-Черкесская Республика",432.1,909.6,23854,62023
"Республика Северная Осетия - Алания",180,180,2055.9,2055.9
"Чеченская Республика",2400,2400,,
"Ставропольский край",699.2,780.8,14867.5,16327.2
"Приволжский Федеральный округ",71375.89999999999,57844.6685,3133543.06307,3429713.77
"Республика Башкортостан",9107.5,11476.26,246087.50307,298036.3
"Республика Марий Эл",6214.2,2744.95,,129917.61
"Республика Мордовия",758.15,385.55,33488.2,23843.4
"Республика Татарстан",14461.55,7517.45,,196314.4
"Удмуртская Республика",9399,5155.29,611082,423220.9
"Чувашская Республика",3757.7,771.8,123883,36529
"Пермский край",9134.98,12292.85,1102419,1353006
"Кировская область",4451,2881.94,336885,260254
"Нижегородская область",7287.75,7287.75,408598.78,408598.78
"Оренбургская область",346.5,413.97,9023.5,16526.26
"Пензенская область",1228.37,1296.85,63250.38,69869.38
"Самарская область",1497.7,1828,55358,52613.9
"Саратовская область",1871.5,1956.0885,54896.5,53611.7
"Ульяновская область",1860,1835.92,88571.2,107372.14
"Уральский Федеральный округ",34247.9,12791.4833,1889224,949494.5
"Курганская область",14127,3005.2,826200,145527
"Свердловская область",6746.9,5362,668237,460226
"Тюменская область",1151.3,635.1,90566,45108
"Челябинская область",11900,2814.2,282912,191553.5
"Ханты-Мансийский автономный округ - Югра",322.7,974.9833,21309,107080
"Ямало-Ненецкий автономный округ",,,,
"Сибирский Федеральный округ",123267.3,102006.9,12918101.15746,14032308.08
"Республика Алтай",4225,468.55,166921.65746,25730
"Республика Бурятия",11874.8,5325.85,593585.6,436358.7
"Республика Тыва",1607,1607,,
"Республика Хакасия",1014.4,1030.5,84997.5,83745.7
"Алтайский край",5492,1691.9,234038,64520.4
"Забайкальский край",13140,8020.445,791344,525855.1800000001
"Красноярский край",37284,37221.81,6580625.1,6098197.7
"Иркутская область",26026.1,28192.49,3595238,4384876.4
"Кемеровская область",523.8,497.3,46838,49315
"Новосибирская область",4385.2,2068.6,170261,105888
"Омская область",7220,6228.6,654252.3,715147
"Томская область",10475,9653.809999999999,,1542674
"Дальневосточный Федеральный округ",8636.5,8057.8,724024.1,872135.1
"Республика Саха (Якутия)",107.3,107.3,5043.1,5043.1
"Камчатский край",250,167.36,,7659
"Приморский край",1514,975.3,75262,50111
"Хабаровский край",3500,4395.8,410640,671894.5
"Амурская область",1323,952,87525,54100
"Магаданская область",95,54.97,3800,2984
"Сахалинская область",796,308.12,76560,27583
"Еврейская автономная область",506.2,369.9,55744,43663
"Чукотский автономный округ",545,727,9450,9097.5
