Subject,The volume of harvested wood
Российская Федерация,"213 805,7316"
Центральный федеральный округ,"23 131,5607"
Белгородская обл,"62,8"
Брянская обл,"1 313,6497"
Владимирская обл,"1 795,5"
Воронежская обл,"342,756"
Ивановская обл,"1 194,521"
Калужская обл,"1 281,1"
Костромская обл,"4 841,301"
Курская обл,"179,492"
Липецкая обл,"134,263"
Московская обл,"2 106,7912"
Орловская обл,"14,9"
Рязанская обл,"1 257,078"
Смоленская обл,"2 033,535"
Тамбовская обл,"520,1851"
Тверская обл,"4 507,3166"
Тульская обл,"124,6635"
Ярославская обл,"1 421,7087"
"Северо-Западный федеральный округ","54 186,4072"
Респ Карелия,"6 710,3"
Респ Коми,8 694
Архангельская обл,"12 675,715"
Вологодская обл,"15 627,4"
Калининградская обл,"278,7"
Ленинградская обл,"5 461,182"
Мурманская обл,"119,48"
Ненецкий автономный округ,"1,9011"
Новгородская обл,"2 981,7"
Псковская обл,"1 636,0291"
Южный федеральный округ,"623,9653"
Респ Адыгея,"261,462"
Респ Калмыкия,"0,207"
Краснодарский край,"271,8049"
Астраханская обл,"6,731"
Волгоградская обл,"33,7015"
Ростовская обл,"50,0589"
"Северо-Кавказский федеральный округ","139,4418"
Респ Дагестан,"39,9056"
Респ Ингушетия,"4,428"
"Кабардино-Балкарская Респ","14,6067"
Карачаево-Черкесская Респ,"53,013"
"Респ. Северная Осетия - Алания","14,7634"
Чеченская Респ,"11,394"
Ставропольский край,"1,3311"
Приволжский федеральный округ,"32 112,3991"
Респ Башкортостан,"3 069,0668"
Респ Марий Эл,"1 233,3748"
Респ Мордовия,"397,73"
Респ Татарстан,"875,965"
Удмуртская Респ,2 785
Чувашская Респ,"237,534"
Пермский край,"7 984,6"
Кировская обл,"9 597,4612"
Нижегородская обл,"4 207,5709"
Оренбургская обл,"32,204"
Пензенская обл,"470,564"
Самарская обл,"77,907"
Саратовская обл,"93,6469"
Ульяновская обл,"1 049,7745"
Уральский федеральный округ,"15 192,8872"
Курганская обл,"1 271,3"
Свердловская обл,"6 539,2098"
Тюменская обл,"1 571,5656"
Челябинская обл,"1 306,671"
"Ханты-Мансийский АО","4 208,4408"
"Ямало-Ненецкий АО","295,7"
Сибирский федеральный округ,"71 948,0936"
Респ Алтай,"481,494"
Респ Бурятия,"3 085,863"
Респ Тыва,"131,5732"
Респ Хакасия,"366,4064"
Алтайский край,"2 639,992"
Забайкальский край,"2 055,9934"
Красноярский край,"18 597,5321"
Иркутская обл,"35 336,5126"
Кемеровская обл,"1 348,06"
Новосибирская обл,"1 094,3077"
Омская обл,"1 555,4591"
Томская обл,"5 254,9"
Дальневосточный федеральный округ,"16 470,9768"
"Респ. Саха (Якутия)","2 144,81"
Камчатский край,"143,4796"
Приморский край,"4 387,8762"
Хабаровский край,"7 558,8"
Амурская обл,"1 616,843"
Магаданская обл,"78,1"
Сахалинская обл,"269,485"
Еврейская АО,"267,183"
Чукотский АО,"4,4"
